texto,tipo,sentimiento_general,estrellas,aspecto_comida,aspecto_servicio,aspecto_limpieza,aspecto_precio
"En la Parrilla del Valle, la limpieza del lugar es por debajo de lo esperado. También, el desayuno fue de mala calidad. También, el servicio fue aceptable.",restaurante,negativo,2,negativo,neutral,negativo,no_mencionado
"En el Restaurante Los Yungas, el costo nos pareció más alto de lo que justifica la experiencia. Por otro lado, la comida es muy grasosa. Además, la limpieza del lugar es cuidada hasta el último detalle. Por otro lado, el personal fue estándar.",restaurante,neutral,2,negativo,neutral,positivo,negativo
"En el Hotel Plaza Mayor, las habitaciones estaban deficiente. También, el servicio fue estándar.",hotel,negativo,2,no_mencionado,neutral,negativo,no_mencionado
"En la Cantina Altiplano, el servicio fue profesional. Asimismo, los platillos fueron sin nada especial.",restaurante,positivo,4,neutral,positivo,no_mencionado,no_mencionado
"En el Café Illimani, todo se veía deficiente. En cuanto al resto, la comida estuvo poco fresca. En cuanto al resto, la atención del staff fue atento en todo momento.",restaurante,negativo,2,negativo,positivo,negativo,no_mencionado
"En el Restaurante Sabor Andino, las habitaciones estaban impecable. Además, el costo nos pareció justo. Por otro lado, los platillos fueron exquisita. Asimismo, el servicio fue muy atento.",restaurante,positivo,5,positivo,positivo,positivo,positivo
"En el Hostal Sol Naciente, los platillos fueron increíble. Asimismo, las tarifas resultaron promedio.",hotel,positivo,4,positivo,no_mencionado,no_mencionado,neutral
"En el Restaurante La Paceña, los precios son promedio. Por otro lado, el personal fue normal. Asimismo, las habitaciones estaban normal.",restaurante,neutral,3,no_mencionado,neutral,neutral,neutral
"En el Restaurante Rincón Cochabambino, todo se veía aceptable. Además, el costo nos pareció excesivo.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En el Hotel Andino, los platillos fueron normal. Por otro lado, la limpieza del lugar es impoluto. Además, los precios son económico para lo que ofrece.",hotel,positivo,4,neutral,no_mencionado,positivo,positivo
"En el Restaurante Sabor Andino, la comida estuvo decepcionante. Además, el aseo general fue con mal olor.",restaurante,negativo,1,negativo,no_mencionado,negativo,no_mencionado
"En el Café Illimani, los precios son sobrevalorado. También, la limpieza del lugar es adecuada.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En el Hostal Kantuta, la comida estuvo increíble. Además, los precios son económico para lo que ofrece. Además, la limpieza del lugar es muy limpio.",hotel,positivo,5,positivo,no_mencionado,positivo,positivo
"En el Restaurante Fogón Criollo, nos atendieron de forma estándar. En cuanto al resto, la comida es de primera calidad. Por otro lado, la relación precio-calidad es una excelente relación precio-calidad.",restaurante,positivo,4,positivo,neutral,no_mencionado,positivo
"En el Restaurante La Paceña, el costo nos pareció muy accesible. También, nos atendieron de forma atento en todo momento.",restaurante,positivo,5,no_mencionado,positivo,no_mencionado,positivo
"En el Hotel Illimani, nos atendieron de forma profesional. Por otro lado, el costo nos pareció más alto de lo que justifica la experiencia. Asimismo, el desayuno fue poco fresca.",hotel,negativo,2,negativo,positivo,no_mencionado,negativo
"En el Hotel Mirador del Valle, nos atendieron de forma muy cordial. Además, los precios son similar al de la competencia.",hotel,positivo,4,no_mencionado,positivo,no_mencionado,neutral
"En el Restaurante Fogón Criollo, la limpieza del lugar es normal. Por otro lado, el desayuno fue muy sabrosa.",restaurante,positivo,4,positivo,no_mencionado,neutral,no_mencionado
"En el Restaurante Los Yungas, la comida estuvo sin nada especial. Por otro lado, la atención del staff fue muy demorado. Además, las habitaciones estaban aceptable. Por otro lado, los precios son promedio.",restaurante,neutral,2,neutral,negativo,neutral,neutral
"En el Restaurante Rincón Cochabambino, la comida es estándar. En cuanto al resto, la atención del staff fue indiferente. En cuanto al resto, el costo nos pareció razonable. Por otro lado, el aseo general fue adecuada.",restaurante,neutral,3,neutral,negativo,neutral,positivo
"En el Restaurante Los Yungas, las tarifas resultaron razonable dentro del mercado. Asimismo, la comida estuvo de mala calidad. Por otro lado, el servicio fue excelente. Asimismo, las habitaciones estaban por debajo de lo esperado.",restaurante,neutral,2,negativo,positivo,negativo,neutral
"En el Hotel Mirador del Valle, el desayuno fue muy sabrosa. En cuanto al resto, el servicio fue muy atento.",hotel,positivo,5,positivo,positivo,no_mencionado,no_mencionado
"En el Hotel Illimani, la limpieza del lugar es por debajo de lo esperado. Por otro lado, la comida es insípida. En cuanto al resto, la relación precio-calidad es promedio.",hotel,negativo,2,negativo,no_mencionado,negativo,neutral
"En el Restaurante Los Yungas, el aseo general fue adecuada. Por otro lado, la relación precio-calidad es más alto de lo que justifica la experiencia.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En el Hotel Illimani, las habitaciones estaban deficiente. También, la relación precio-calidad es similar al de la competencia.",hotel,negativo,2,no_mencionado,no_mencionado,negativo,neutral
"En el Restaurante Rincón Cochabambino, el personal fue aceptable. Por otro lado, la limpieza del lugar es sucia. También, los precios son económico para lo que ofrece. En cuanto al resto, la comida es aceptable.",restaurante,neutral,3,neutral,neutral,negativo,positivo
"En el Café Illimani, los precios son excesivo. Además, el aseo general fue adecuada.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En el Hotel Andino, la limpieza del lugar es cuidada hasta el último detalle. En cuanto al resto, el desayuno fue de mala calidad.",hotel,neutral,3,negativo,no_mencionado,positivo,no_mencionado
"En el Hotel Los Pinos, las habitaciones estaban impoluto. Por otro lado, el personal fue profesional. También, la comida estuvo deliciosa. Además, los precios son excesivo.",hotel,positivo,4,positivo,positivo,positivo,negativo
"En el Café Illimani, la limpieza del lugar es adecuada. Además, la atención del staff fue descortés. Por otro lado, el desayuno fue muy sabrosa. En cuanto al resto, los precios son justo.",restaurante,neutral,4,positivo,negativo,neutral,positivo
"En el Hotel Plaza Mayor, el aseo general fue sucia. También, el desayuno fue aceptable.",hotel,negativo,2,neutral,no_mencionado,negativo,no_mencionado
"En el Restaurante La Paceña, la limpieza del lugar es deficiente. Asimismo, el servicio fue profesional.",restaurante,neutral,3,no_mencionado,positivo,negativo,no_mencionado
"En el Hotel Real Audiencia, la limpieza del lugar es adecuada. Asimismo, la comida es correcta. También, las tarifas resultaron razonable.",hotel,positivo,4,neutral,no_mencionado,neutral,positivo
"En el Hotel Illimani, las habitaciones estaban adecuada. También, la relación precio-calidad es excesivo. También, los platillos fueron recién preparada y sabrosa. Además, la atención del staff fue estándar.",hotel,neutral,3,positivo,neutral,neutral,negativo
"En la Parrilla del Valle, el costo nos pareció no vale lo que cuesta. Asimismo, el servicio fue deficiente.",restaurante,negativo,1,no_mencionado,negativo,no_mencionado,negativo
"En el Hotel Andino, la comida es excelente. Además, el aseo general fue descuidada.",hotel,neutral,3,positivo,no_mencionado,negativo,no_mencionado
"En el Hotel Los Pinos, la relación precio-calidad es muy caro. También, la comida estuvo poco fresca. También, el aseo general fue sucia. Por otro lado, nos atendieron de forma excelente.",hotel,negativo,2,negativo,positivo,negativo,negativo
"En el Hostal Sol Naciente, el desayuno fue decepcionante. En cuanto al resto, los precios son muy caro. Asimismo, todo se veía adecuada.",hotel,negativo,2,negativo,no_mencionado,neutral,negativo
"En el Restaurante Fogón Criollo, todo se veía adecuada. En cuanto al resto, la comida es recién preparada y sabrosa. Asimismo, las tarifas resultaron sobrevalorado.",restaurante,neutral,3,positivo,no_mencionado,neutral,negativo
"En el Hotel Los Pinos, el costo nos pareció similar al de la competencia. En cuanto al resto, todo se veía normal.",hotel,neutral,3,no_mencionado,no_mencionado,neutral,neutral
"En el Hotel Plaza Mayor, los platillos fueron normal. Por otro lado, la relación precio-calidad es similar al de la competencia. En cuanto al resto, la atención del staff fue indiferente. Por otro lado, las habitaciones estaban cuidada hasta el último detalle.",hotel,neutral,3,neutral,negativo,positivo,neutral
"En la Parrilla del Valle, la limpieza del lugar es normal. También, el personal fue estándar. Además, la comida es estándar. Por otro lado, las tarifas resultaron una excelente relación precio-calidad.",restaurante,neutral,4,neutral,neutral,neutral,positivo
"En el Hotel Mirador del Valle, los platillos fueron excelente. Además, nos atendieron de forma descortés. Además, la limpieza del lugar es cuidada hasta el último detalle. También, los precios son una excelente relación precio-calidad.",hotel,positivo,4,positivo,negativo,positivo,positivo
